....
Sub-Category,Sales,Region,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Product ID,Category,Product Name
Chairs,701.96,South,CA-2019-143756,First Class,ME-17725,Max Engle,Consumer,United States,Salem,Virginia,FUR-CH-10001854,Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat
Chairs,701.96,South,US-2019-109610,Second Class,BS-11590,Brendan Sweed,Corporate,United States,Louisville,Kentucky,FUR-CH-10001854,Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat
Chairs,723.92,South,CA-2019-157931,Second Class,MO-17800,Meg O'Connel,Home Office,United States,Roswell,Georgia,FUR-CH-10000785,Furniture,Global Ergonomic Managers Chair
Chairs,731.9399999999999,South,CA-2018-152156,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
Chairs,831.9360000000001,South,US-2017-134026,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,FUR-CH-10000513,Furniture,High-Back Leather Manager's Chair
Chairs,866.4,South,CA-2018-118514,Standard Class,LC-17050,Liz Carlisle,Consumer,United States,Richmond,Kentucky,FUR-CH-10000015,Furniture,Hon Multipurpose Stacking Arm Chairs
Chairs,866.4,South,CA-2019-155705,Second Class,NF-18385,Natalie Fritzler,Consumer,United States,Jackson,Mississippi,FUR-CH-10000015,Furniture,Hon Multipurpose Stacking Arm Chairs
Chairs,975.92,South,CA-2019-143567,Second Class,TB-21175,Thomas Boland,Corporate,United States,Henderson,Kentucky,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
Chairs,1013.8320000000001,South,CA-2016-153913,Second Class,KB-16585,Ken Black,Corporate,United States,Hialeah,Florida,FUR-CH-10000988,Furniture,Hon Olson Stacker Stools
Chairs,1056.86,South,CA-2017-102582,Standard Class,NW-18400,Natalie Webber,Consumer,United States,Mobile,Alabama,FUR-CH-10004853,Furniture,"Global Manager's Adjustable Task Chair, Storm"
Chairs,1059.12,South,CA-2018-123946,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,Springfield,Virginia,FUR-CH-10002073,Furniture,Hon Olson Stacker Chairs
Chairs,1067.94,South,US-2016-147627,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,FUR-CH-10002331,Furniture,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms
Chairs,1123.92,South,CA-2017-121720,First Class,JE-15610,Jim Epp,Corporate,United States,Lakeland,Florida,FUR-CH-10003312,Furniture,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
Chairs,1125.4879999999998,South,CA-2016-130428,Same Day,TG-21640,Trudy Glocke,Consumer,United States,Tampa,Florida,FUR-CH-10002965,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
Chairs,1139.92,South,US-2016-125521,Standard Class,CK-12325,Christine Kargatis,Home Office,United States,Chesapeake,Virginia,FUR-CH-10003379,Furniture,Global Commerce Series High-Back Swivel/Tilt Chairs
Chairs,1166.92,South,CA-2017-153549,Second Class,SL-20155,Sara Luxemburg,Home Office,United States,Jacksonville,Florida,FUR-CH-10004086,Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
Chairs,1207.84,South,US-2019-158526,Second Class,KH-16360,Katherine Hughes,Consumer,United States,Louisville,Kentucky,FUR-CH-10002602,Furniture,DMI Arturo Collection Mission-style Design Wood Chair
Chairs,1690.04,South,CA-2017-158421,Standard Class,GB-14575,Giulietta Baptist,Consumer,United States,Columbia,South Carolina,FUR-CH-10000309,Furniture,Global Comet Stacking Arm Chair
Chairs,1819.8600000000001,South,CA-2016-120768,Second Class,IM-15070,Irene Maddox,Consumer,United States,Florence,Alabama,FUR-CH-10000513,Furniture,High-Back Leather Manager's Chair
Chairs,2573.82,South,CA-2016-167199,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,FUR-CH-10004063,Furniture,Global Deluxe High-Back Manager's Chair
Chairs,2803.92,South,CA-2019-102204,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Jacksonville,Florida,FUR-CH-10002024,Furniture,HON 5400 Series Task Chairs for Big and Tall
